materia,grado,periodo,tema
Educación Artística y cultural,1°,,"Exploración en el arte

Danzas:
Juegos de movimiento, expresión de emociones con el cuerpo, secuencias básicas de danza. 
danza zoomorfo y antropomorfo 

Reconocimiento del cuerpo y sus posibilidades de movimiento.
Coordinación motriz básica y desplazamientos.
Ritmo corporal mediante juegos y rondas danzadas."
Educación Artística y cultural,1°,,"Exploración en el arte

Artes Plásticas:
• Creaciones navideñas: Explorando el color y la decoración a través del arte navideño.
• Colores y mezclas: Comprendiendo el círculo cromático y los colores primarios/secundarios.
• Líneas y formas en la naturaleza: Creando obras inspiradas en animales, paisajes y formas naturales.
• Técnicas artísticas: Experimentando con el puntillismo, la acuarela y diferentes texturas.

Garabato controlado.
Dáctilo pintura.
Rasgado y pegado.
Modelado con plastilina.
Coloreado y dibujo libre."
Educación Artística y cultural,1°,,"Exploración en el arte

Música:
Reconocimiento de sonidos del entorno, ritmo corporal, canciones infantiles, silencio y timbre."
Educación Artística y cultural,2°,,"Exploración en el arte

Danzas:
Juegos dramáticos, movimientos inspirados en animales y fenómenos naturales, creación de personajes y mini-escenas. 
Niveles y direcciones del movimiento corporal.
Coordinación rítmica con música y percusión corporal.
Secuencias básicas de movimiento y expresión corporal."
Educación Artística y cultural,2°,,"Exploración en el arte

Artes Plásticas:
• Creaciones navideñas: Usar el color y la forma para crear obras festivas.
• Técnicas artísticas: Explorar el puntillismo, el collage y la textura.
• Dibujo de la figura humana: Comprender y representar el cuerpo a través del arte.
• Movimiento y expresión: Crear siluetas inspiradas en Keith Haring.

Collage.
Estampación.
Pintura con témpera.
Modelado sencillo."
Educación Artística y cultural,2°,,"Exploración en el arte

Música:
Patrones rítmicos simples, instrumentos de percusión, canciones sobre la naturaleza, diferencias de sonidos agudos y graves.

Desarrollo de la percepción auditiva: Identifica y diferencia sonidos agudos y graves en diversos contextos musicales.
Exploración rítmica básica: Reconoce y ejecuta patrones rítmicos simples mediante el uso de la voz, el cuerpo o instrumentos de percusión.
Expresión musical y contextual: Participa en canciones relacionadas con la naturaleza, fortaleciendo la creatividad, la sensibilidad y la conexión con el entorno."
Educación Artística y cultural,3°,,"Exploración en el arte

Danzas:
Uso del espacio y niveles corporales, representación de situaciones cotidianas, dramatización de emociones y juegos escénicos.
Elementos básicos de la danza: tiempo, espacio y energía.
Equilibrio, postura y alineación corporal.
Coreografías sencillas individuales y grupales."
Educación Artística y cultural,3°,,"Exploración en el arte

Artes Plásticas:
• Introducción al cubismo: Aprender sobre Picasso y el arte geométrico.
• Formas y arte abstracto: Crear obras utilizando figuras geométricas.
• Retratos y rostros cubistas: Explorar la representación humana a través de las formas y los colores.
• Animales y naturaleza en el cubismo: Usar la geometría para representar seres vivos.

Dibujo de observación.
Acuarela básica.
Collage temático.
Máscaras."
Educación Artística y cultural,3°,,"Exploración en el arte

Música:
Cualidades del sonido, ejercicios rítmicos con percusión, interpretación coral, estructura básica de la canción.

Reconocimiento de las cualidades del sonido: Identifica características como la altura, duración, intensidad y timbre en diferentes experiencias musicales.
Desarrollo del sentido rítmico: Participa en ejercicios de percusión que favorecen la coordinación, la atención y la precisión en la ejecución de patrones rítmicos.
Interpretación y comprensión musical: Interpreta canciones de manera coral, reconociendo elementos básicos de su estructura como introducción, estrofa y coro."
Educación Artística y cultural,4°,,"Exploración en el arte

Danzas:
Movimientos que representan emociones complejas, improvisación teatral, coreografías colectivas con narración.

Técnicas básicas de danza folclórica colombiana.
Expresión de emociones a través del movimiento.
Creación de secuencias coreográficas cortas."
Educación Artística y cultural,4°,,"Exploración en el arte

Artes Plásticas:
Movimiento artístico: fauvismo, técnicas artísticas, composición visual, creación y exposición  de productos artísticos."
Educación Artística y cultural,4°,,"Exploración en el arte

Música:
Notación musical básica, figuras rítmicas, acompañamiento con instrumentos escolares, interpretación grupal de canciones.

Iniciación a la lectura musical: Reconoce y utiliza elementos de la notación musical básica, identificando figuras rítmicas y su duración dentro de ejercicios prácticos.
Desarrollo de habilidades instrumentales: Emplea instrumentos escolares para realizar acompañamientos sencillos, fortaleciendo la coordinación y el sentido del pulso musical.
Trabajo colaborativo e interpretación musical: Participa activamente en la interpretación grupal de canciones, integrando la lectura rítmica, la ejecución instrumental y la escucha atenta de sus compañeros."
Educación Artística y cultural,5°,,"Exploración en el arte

Danzas:
Representación de situaciones sociales y emocionales, coordinación individual y grupal, escenas teatrales con personajes y roles definidos.
Ritmos tradicionales de Colombia y sus características.
Coordinación corporal y manejo espacial grupal.
Montajes coreográficos de danzas tradicionales."
Educación Artística y cultural,5°,,"Exploración en el arte

Artes Plásticas:
Elementos de la composición visual, técnicas de pintura,, proporción, diseño de afiches y carteles con intención comunicativa.

Expresión artística: Comic: narrar historias mediante una secuencia de imágenes."
Educación Artística y cultural,5°,,"Exploración en el arte

Música:
Representación de situaciones sociales y emocionales, coordinación individual y grupal, escenas teatrales con personajes y roles definidos.

Expresión de situaciones sociales y emocionales: Representa mediante el teatro diversas experiencias, emociones y situaciones de la vida cotidiana, fortaleciendo la empatía y la comunicación.
Desarrollo de la coordinación escénica: Participa en actividades que requieren coordinación individual y grupal, favoreciendo la atención, la creatividad y el trabajo en equipo.
Construcción e interpretación de personajes: Interpreta escenas teatrales con personajes y roles definidos, demostrando comprensión de la historia, expresión corporal y manejo básico de recursos dramáticos."
Educación Artística y cultural,6°,,"Exploración en el arte

Danzas:
Introducción a la técnica de danza académica.
Flexibilidad, fuerza y acondicionamiento físico.
Principios de composición coreográfica."
Educación Artística y cultural,6°,,"Exploración en el arte

Artes Plásticas:
Paisaje y naturaleza, mezcla de colores primarios, collage y mosaico, figura humana inicial."
Educación Artística y cultural,6°,,"Exploración en el arte

Música:
Lectura y escritura musical inicial, escalas mayores, ensamble rítmico y melódico con instrumentos escolares, repertorio popular."
Educación Artística y cultural,7°,,"Exploración en el arte

Danzas:
Historia de la danza y sus principales manifestaciones.
Técnica de giros, saltos y desplazamientos.
Improvisación y exploración del movimiento."
Educación Artística y cultural,7°,,"Exploración en el arte

Artes Plásticas:
Retrato, experimentación con acuarela y tinta."
Educación Artística y cultural,7°,,"Exploración en el arte

Música:
Creación de pequeñas composiciones rítmicas y melódicas, exploración de instrumentos melódicos, ensamble grupal."
Educación Artística y cultural,8°,,"Exploración en el arte

Danzas:
Danza contemporánea: fundamentos técnicos.
Relación entre música, movimiento y expresión.
Creación colectiva de propuestas coreográficas."
Educación Artística y cultural,8°,,"Exploración en el arte

Artes Plásticas:
Exploración del Land Art y la naturaleza como medio artístico: identificación, recolección y uso de elementos del entorno (hojas, piedras, tierra, ramas) para crear composiciones y estudiar texturas, formas y colores."
Educación Artística y cultural,8°,,"Exploración en el arte

Música:
Análisis de géneros musicales, interpretación de repertorios juveniles y tradicionales, creación de acompañamientos rítmicos y melódicos."
Educación Artística y cultural,9°,,"Exploración en el arte

Danzas:
Análisis de estilos y géneros dancísticos.
Interpretación artística y presencia escénica.
Composición coreográfica basada en temáticas sociales y culturales."
Educación Artística y cultural,9°,,"Exploración en el arte

Artes Plásticas:
Exploración del Op Art y la ilusión óptica. Experimentación con líneas, formas y contrastes."
Educación Artística y cultural,9°,,"Exploración en el arte

Música:
Ensambles vocales e instrumentales, improvisación musical, exploración de armonía básica."
Educación Artística y cultural,10°,,"Exploración en el arte

Danzas:
Análisis de obras musicales, interpretación de repertorio universal y colombiano, composición musical básica."
Educación Artística y cultural,10°,,"Exploración en el arte

Artes Plásticas:
Características, orígenes y principales exponentes del movimiento artístico Pop Art. Aplicación de técnicas mixtas en la producción de obras con intención comunicativa."
Educación Artística y cultural,10°,,"Exploración en el arte

Música:
Continuar explorando propuestas de teatro experimental, danza contemporánea y creación escénica, fortaleciendo la capacidad de análisis, reflexión crítica y expresión personal a través de procesos artísticos cada vez más conscientes y creativos."
Educación Artística y cultural,11°,,"Exploración en el arte

Danzas:
Producción musical (arreglos, grabación básica), investigación sobre músicas tradicionales y urbanas, creación de una obra colectiva final."
Educación Artística y cultural,11°,,"Exploración en el arte

Artes Plásticas:
Teoría del color, técnicas artísticas. Bitácora personal: vivencias."
Educación Artística y cultural,11°,,"Exploración en el arte

Música:
Montaje escénico integrador (danza, teatro, música), exploración de identidades culturales, muestra final para la comunidad educativa."
Ciencias Sociales,1°,I,"- Construcción de pautas o normas de comunicación y comportamiento: El semáforo de la participación. (CPAZ: Participación política)
- Reconociéndome como un sujeto de derechos y de cualidades: Mis características personales y emocionales.
- Las comunidades a las que pertenezco: familia, colegio y barrio (autoridades, normas y funciones)
- Aceptación de las diferencias y similitudes en mi grupo.
- Identifico algunas situaciones de conflicto en mi entorno y propongo alternativas de solución a los mismos. (CPAZ: Resolución pacífica de conflictos)

Participando en la construcción de pautas o normas de comunicación y comportamiento. (CPAZ: Participación política)
- Los derechos y los deberes en mi Colegio. 
- Identifico algunas situaciones de conflicto en mi entorno y propongo alternativas de solución a los mismos. (CPAZ: Resolución pacífica de conflictos)
- Reconociéndome como un sujeto de derechos y de cualidades: Mis características personales y emocionales.
- Reconociéndome como parte de un grupo.
- Aceptación de las diferencias y similitudes en mi grupo.
- Las comunidades a las que pertenezco: familia, colegio y barrio (autoridades, normas y funciones)"
Ciencias Sociales,1°,II,"- Ubicación espacial usando como referencia su cuerpo: arriba, abajo, izquierda, derecha.
- Los puntos cardinales y la brújula.
- Mi barrio y mi entorno.
- Los problemas ambientales en mi entorno. (CPAZ: Protección de las riquezas naturales de la Nación - Proyectos de impacto social)
- Reconociendo las diferentes formas de relieve en mi entorno.
-El tiempo atmosférico
- El clima incide en la forma de vida de las comunidades. (C PAZ: Diversidad y pluralidad)"
Ciencias Sociales,1°,III,"- El tiempo cronológico: Los días de la semana - Los meses del año – Presente, pasado y futuro.
- Reconstruyendo mi historia: ¿quién soy?, ¿de dónde vengo?
- La línea de tiempo: Reconstruyendo mi historia
- Habitando mi hogar.
- Los tipos de vivienda a mi alrededor. (C PAZ: Diversidad y pluralidad)
- Escuchando historias orales sobre mi comunidad (Trabajando con fuentes primarias: la entrevista)"
Ciencias Sociales,2°,I,"Derechos de los niños y las niñas (CPAZ: Justicia y Derechos Humanos - Proyectos de impacto social)
Protección de los derechos (casos cotidianos, conflictos escolares, reconocimiento de situaciones de situaciones de exclusión o discriminación)
- Derechos y deberes en el Colegio, según el Manual de Convivencia. (CPAZ: Participación política)
- Mi historia familiar:  ¿De dónde vengo?
- Mi árbol genealógico.
- Medios de transporte utilizados en mi entorno y en la actualidad.
- Medios de transporte empleados en otras épocas.
PERIODO II
Nombre del área: Ciencias Sociales | Grado: 2° | HS: 3H
Objetivos para el grado:
 Identifican los diferentes oficios que realizan las personas en su comunidad, reconociendo la importancia de estos y del trabajo para la familia y la economía.
Explican el papel desempeñado por los seres humanos en la transformación del paisaje, considerándolo como un espacio de posibilidades.
Estándares Básicos de Competencias (EBC):
- Me reconozco como ser social e histórico, miembro de un país con diversas etnias y culturas, con un legado que genera identidad nacional.
- Reconozco la interacción entre el ser humano y el paisaje en diferentes contextos e identifico las acciones económicas y las consecuencias que resultan de esta relación.
- Me identifico como un ser humano único, miembro de diversas organizaciones sociales y políticas necesarias para el bienestar y el desarrollo personal y comunitario; reconozco que las normas son acuerdos básicos que buscan la convivencia pacífica en la diversidad.
COMPETENCIAS A DESARROLLAR
Pensamiento Social – Interpretación y Análisis de Perspectivas – Pensamiento Sistémico y Reflexivo
Componentes y desempeños
Relaciones con la historia y las culturas | Relaciones espaciales y ambientales | Relaciones ético – políticas
- Identifico algunas características físicas, sociales, culturales y emocionales que hacen de mí un ser único.
- Identifico y describo algunas características socioculturales de comunidades a las que pertenezco y de otras diferentes a las mías. | - Identifico y describo características y funciones básicas de organizaciones sociales y políticas de mi entorno (familia, colegio, barrio, vereda, corregimiento, resguardo, territorios afrocolombianos, municipio…).
Pregunta o situación problémica | DBA | Contenidos de Aprendizaje
Pregunta o situación problémica | DBA | Actitudinales | Conceptuales | Procedimentales
¿Cómo influyen los trabajos y oficios en el lugar donde vivimos: campo o ciudad?

¿Por qué necesitamos aprender a leer mapas y conocer los paisajes que nos rodean? | DBA 1
Comprende que el paisaje que vemos es resultado de las acciones humanas que se realizan en un espacio geográfico y que, por esta razón, dicho paisaje cambia.

DBA 5
Analiza las actividades económicas de su entorno y el impacto de estas en la comunidad.

DBA 6
Compara las características de las viviendas de su municipio, vereda o lugar donde vive
con las de otros lugares. | Reconozco y respeto diferentes puntos de vista. (EBC) 

Comparo mis aportes con los de mis compañeros y compañeras e incorporo en mis conocimientos y juicios elementos valiosos aportados por otros. (EBC) | Identifica las formas del relieve que se encuentran en la superficie terrestre (montaña, valle, llanura, meseta e islas) y nombra aquellas que se observan en su localidad, comuna o vereda. (DBA 1).

Expresa sus apreciaciones sobre los paisajes que observa en fotografías, folletos, revistas, periódicos y señala aquellos que prefiere. (DBA 1).

Identifica los trabajos u oficios que las personas de su comunidad realizan para obtener su sustento y el de la familia. (DBA 5).

Compara los oficios que los abuelos realizaban anteriormente respecto de cómo se realizan hoy y diferencia los trabajos característicos de las zonas urbanas y rurales. (DBA 5).

Reconoce características de las viviendas rurales y urbanas a partir de los materiales utilizados para su construcción. (DBA 6).

Identifica los cambios que se dan en las viviendas con el paso del tiempo. (DBA 6). | Traza las formas básicas del paisaje de su municipio a través de dibujos y la elaboración de maquetas con barro, plastilina o materiales reutilizables que consiga en su contexto. (DBA 1).

Explica los cambios que se han realizado en el paisaje del municipio debido a cultivos, construcciones recientes, carreteras, caminos, edificaciones y parques, entre otros. (DBA 1).

Describe las actividades económicas que realizan los adultos en su hogar y los beneficios que éstas traen para todos los integrantes de la familia. (DBA 5).

Reconoce experiencias donde algunos niños son explotados laboralmente y expresa razones para rechazar estas situaciones. (DBA 5).

Describe y diferencia características de las viviendas de los grupos étnicos, a partir de la lectura de imágenes. (DBA 6).

Describe las ventajas y desventajas que representa tener vivienda en zona urbana o rural. (DBA 6).
TEMAS
- Trabajos y oficios.
- Trabajos propios de la ciudad y el campo.
- La vivienda a través del tiempo: ayer y hoy.
- Ventajas y desventajas de las viviendas ubicadas en la zona rural y urbana.
- Formas del relieve.
-  Tipos de paisaje (Natural, cultural, rural y urbano)
-Formas de representación de la Tierra: El globo terráqueo y el plano."
Ciencias Sociales,2°,III,"-Los puntos cardinales.
- Trabajando con el  mapa de mi ciudad: división político-administrativa, convenciones, puntos cardinales, calles, carreras.
- Mi municipio: aspectos generales de Cali.
- Hidrografía de Cali: la importancia de cuidar nuestros ríos (C PAZ: Protección de las riquezas naturales de la Nación)
- Características sociales y culturales de mi ciudad. (CPAZ: Diversidad y pluralidad)
- Cuidamos nuestra ciudad (trabajo colaborativo, campaña escolar)"
Ciencias Sociales,3°,I,"- Gobierno escolar: Funciones de los diferentes estamentos que lo componen.
- Propuestas de los representantes al Consejo Estudiantil
- Elecciones escolares y ejercicio del voto
- ¿Qué es un departamento?
- ¿Quien gobierna en mi departamento?: La gobernación y la Asamblea Departamental
- Desarrollo y comparación de propuestas de los representantes al Consejo estudiantil. (C PAZ: Proyecto de impacto social)
- Normas en el departamento, en la ciudad y en el colegio: Mis derechos y mis deberes como ciudadano. (C PAZ: Participación política)
- Mis derechos y deberes como ciudadano"
Ciencias Sociales,3°,II,"- Trabajando con el mapamundi: ubiquemos continentes, océanos y el país.
- División política de Colombia: departamentos y capitales.
- Mi departamento: Ubicación geográfica del Valle del Cauca.
- Regiones naturales de Colombia. 
- El relieve Colombiano (montañas, valles, ríos, etc.)
- Zonas climáticas de la tierra.
- Clima y vegetación en las regiones: Los pisos térmicos.
- Recursos naturales en nuestra región: renovables y no renovables (C PAZ: Protección de las riquezas naturales de la Nación)."
Ciencias Sociales,3°,III,"- La importancia del tiempo en la organización de las diferentes actividades humanas: Mi rutina diaria
- ¿Cómo podemos ordenar el tiempo y los sucesos? (Unidades de tiempo y línea de tiempo)
- Grupos poblacionales en mi departamento: características sociales, económicas, culturales y situación actual. (C PAZ: Protección de las riquezas culturales de la Nación)
- Cambios demográficos en mi departamento y en mi ciudad.
- Costumbres y tradiciones en mi departamento y país: soy vallecaucano, soy colombiano. (CPAZ: Protección de las riquezas culturales de la Nación)
- El legado de mis antepasados. Un vistazo a los vestigios que me permiten ver el pasado de mi región."
